# MAG-FI RAW MAPPING DATA
# Mapper: Shant
# Building: 1
# Floor: 3
# Exported: 20260521_173715
# Total rows: 100

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779365185632,0,0.00,0.00,354.1,56.73,-6.04,-26.95,"{"VIT_TPO": -56; "VIT_Staff": -56; "VIT_VIP": -58; "VIT_STUDENT": -57; "VIT_VIP": -58}"
1779365186633,0,0.00,0.00,353.9,55.62,-5.00,-32.53,"{"VIT_TPO": -56; "VIT_Staff": -56; "VIT_VIP": -58; "VIT_STUDENT": -57; "VIT_VIP": -58}"
1779365186974,1,0.72,-0.07,354.7,58.72,-5.93,-30.33,"{"VIT_TPO": -56; "VIT_Staff": -56; "VIT_VIP": -58; "VIT_STUDENT": -57; "VIT_VIP": -58}"
1779365187634,1,0.72,-0.07,349.1,59.55,-11.43,-28.23,"{"VIT_TPO": -56; "VIT_Staff": -56; "VIT_VIP": -58; "VIT_STUDENT": -57; "VIT_VIP": -58}"
1779365188435,2,1.43,-0.16,352.6,59.75,-8.24,-26.29,"{"VIT_TPO": -56; "VIT_Staff": -56; "VIT_VIP": -58; "VIT_STUDENT": -57; "VIT_VIP": -58}"
1779365188637,2,1.43,-0.16,350.1,59.49,-11.01,-23.99,"{"VIT_Staff": -54; "VIT_VIP": -58; "VIT_TPO": -58; "VIT_STUDENT": -58; "VIT_TPO": -58}"
1779365189215,3,2.13,-0.33,346.6,57.36,-13.79,-24.95,"{"VIT_Staff": -54; "VIT_VIP": -58; "VIT_TPO": -58; "VIT_STUDENT": -58; "VIT_TPO": -58}"
1779365189638,3,2.13,-0.33,349.2,59.14,-10.82,-21.40,"{"VIT_Staff": -54; "VIT_VIP": -58; "VIT_TPO": -58; "VIT_STUDENT": -58; "VIT_TPO": -58}"
1779365189695,4,2.84,-0.46,349.7,59.47,-10.39,-20.58,"{"VIT_Staff": -54; "VIT_VIP": -58; "VIT_TPO": -58; "VIT_STUDENT": -58; "VIT_TPO": -58}"
1779365190557,5,3.54,-0.63,345.5,55.37,-14.32,-25.15,"{"VIT_Staff": -54; "VIT_VIP": -58; "VIT_TPO": -58; "VIT_STUDENT": -58; "VIT_TPO": -58}"
