# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779505980453,0,0.00,0.00,48.6,14.83,16.90,3.74,"{"VIT_STUDENT": -66; "VIT_STUDENT": -66; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_VIP": -63}"
1779505981454,0,0.00,0.00,48.8,15.09,17.18,4.00,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505982457,0,0.00,0.00,48.9,14.93,17.10,3.85,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505983457,0,0.00,0.00,49.2,14.77,17.11,3.38,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505984458,0,0.00,0.00,50.4,14.88,18.15,3.50,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505985462,0,0.00,0.00,52.3,14.27,19.01,2.02,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505986465,0,0.00,0.00,57.1,14.76,22.53,1.72,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505987232,1,0.40,0.60,55.9,15.19,22.60,2.54,"{"VIT_TPO": -63; "VIT_STUDENT": -64; "VIT_STUDENT": -64; "VIT_VIP": -63; "VIT_Staff": -66}"
1779505987468,1,0.40,0.60,57.2,15.04,23.33,2.20,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505988469,1,0.40,0.60,57.0,15.61,24.31,2.22,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505988488,2,0.79,1.20,57.1,15.58,24.40,2.14,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505989472,2,0.79,1.20,64.5,14.81,30.56,-1.85,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505989573,3,1.11,1.85,63.7,14.98,29.75,-2.48,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505990476,3,1.11,1.85,64.8,14.20,30.90,-5.81,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505990978,4,1.43,2.49,63.6,14.98,29.13,-6.33,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505991409,5,1.79,3.11,60.0,14.62,25.28,-7.81,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505991477,5,1.79,3.11,60.1,14.41,25.21,-8.13,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505991928,6,2.15,3.74,60.1,15.46,27.26,-7.17,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505992397,7,2.56,4.33,55.2,17.91,25.17,-7.03,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505992478,7,2.56,4.33,53.9,18.07,24.35,-7.43,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505992863,8,3.01,4.89,51.4,17.15,21.52,-8.86,"{"VIT_STUDENT": -62; "VIT_Staff": -65; "VIT_TPO": -63; "VIT_STUDENT": -62; "VIT_TPO": -63}"
1779505993332,9,3.45,5.46,52.6,18.42,23.98,-7.64,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505993481,9,3.45,5.46,51.8,18.78,23.56,-6.89,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505993868,10,3.92,6.01,49.4,18.08,21.24,-4.97,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505994302,11,4.35,6.59,53.6,17.51,23.90,-5.36,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
